iter	RMSE
787	0.09283623103
788	0.09280355224
789	0.09277640181
790	0.0927337223
791	0.09269987324
792	0.092654782
793	0.09262365562
794	0.0925824933
795	0.09254734369
796	0.09252579854
797	0.09249915257
798	0.09247038189
799	0.09244446381
800	0.09243002065
801	0.09232165977
802	0.09230140016
803	0.09223418853
804	0.09223246083
805	0.0922018773
806	0.0921154912
807	0.09209483966
808	0.09208295051
809	0.09203886359
810	0.09198853414
811	0.0919472948
812	0.091897016
813	0.09189152249
814	0.09185735736
815	0.09183482933
816	0.09181698916
817	0.09179229123
818	0.09178693541
819	0.09177138215
820	0.0917219055
821	0.09164828066
822	0.09162581244
823	0.09159373184
824	0.09158313493
825	0.09152950495
826	0.09150814027
827	0.09148874113
828	0.09141970874
829	0.09135329959
830	0.09134396026
831	0.09127969953
832	0.09126489541
833	0.09124596473
834	0.09121804205
835	0.09119151515
836	0.09118473847
837	0.09118018152
838	0.09110991909
839	0.09110777678
840	0.09108584317
841	0.09105903055
842	0.09103081921
843	0.09098829034
844	0.09097470106
845	0.09095165708
846	0.09093013001
847	0.09090035271
848	0.09089702009
849	0.09082915691
850	0.0907980912
851	0.09077174052
852	0.09073867968
853	0.09071870787
854	0.0907121081
855	0.0906836035
856	0.09065632637
857	0.09061261873
858	0.0906093268
859	0.09060605241
860	0.09059038153
861	0.09054526073
862	0.09051264269
863	0.09049573203
864	0.09046379865
865	0.09037734313
866	0.09036532645
867	0.09032841679
868	0.09030966579
869	0.09028799115
870	0.09027291182
871	0.09026825622
872	0.09022080589
873	0.09019736659
874	0.09017542655
875	0.0901266278
876	0.09009399759
877	0.09007809777
878	0.09007324462
879	0.09004671792
880	0.09001128223
881	0.08997675856
882	0.08994181331
883	0.0899169629
884	0.08989903048
885	0.08988300919
886	0.08986655808
887	0.08985564041
888	0.08983399208
889	0.08982067306
890	0.08980729312
891	0.08975424621
892	0.08967552463
893	0.08961911373
894	0.08959474568
895	0.08955436182
896	0.08955298865
897	0.08952829594
898	0.08948277948
899	0.08947286223
900	0.08944603171
901	0.08942532063
902	0.08941053664
903	0.08937675622
904	0.08931893029
905	0.08926853406
906	0.0892484985
907	0.08923303992
908	0.08921548206
909	0.08920444205
910	0.08912628775
911	0.08910124611
912	0.08907465861
913	0.08906399602
914	0.08900329211
915	0.08896459646
916	0.0889320246
917	0.08888924547
918	0.08887310745
919	0.08882207125
920	0.08877555669
921	0.08875557745
922	0.08874208523
923	0.08873125593
924	0.08872849824
925	0.08871456123
926	0.08868931627
927	0.08861198386
928	0.08857566988
929	0.08857012011
930	0.08850244223
931	0.08846387169
932	0.08845484993
933	0.08842036781
934	0.08841386905
935	0.08839036181
936	0.0883700116
937	0.0883325209
938	0.08829106933
939	0.08826105867
940	0.08824102363
941	0.08821556187
942	0.08817645566
943	0.0881301915
944	0.08809265661
945	0.08804786644
946	0.08798943464
947	0.0879316234
948	0.08792097876
949	0.08789389603
950	0.08785397651
951	0.08783243046
952	0.08781618867
953	0.08779467818
954	0.08777509852
955	0.08772603429
956	0.08770955423
957	0.08770750605
958	0.08767248213
959	0.08763089892
960	0.087554936
961	0.08750897322
962	0.0875073958
963	0.08748528449
964	0.08743509725
965	0.08742326577
966	0.08740866944
967	0.08740101877
968	0.08738808918
969	0.08738024381
970	0.08737143149
971	0.08734550075
972	0.0873013654
973	0.0872210082
974	0.08721014778
975	0.08714610168
976	0.08710808367
977	0.08708827509
978	0.08708657542
979	0.08704740099
980	0.08699889057
981	0.08697275587
982	0.08696994603
983	0.08694139463
984	0.08693900822
985	0.08691498345
986	0.08689450392
987	0.08688821454
988	0.08682454366
989	0.08680747728
990	0.08677573647
991	0.0867532984
992	0.08673231281
993	0.08668336334
994	0.08664924615
995	0.08664300151
996	0.08663410049
997	0.08659738621
998	0.08657505588
999	0.08654736874
1000	0.08649093464
1001	0.08647594633
1002	0.08641886697
1003	0.08636803657
1004	0.08634167082
1005	0.08631094766
1006	0.08627047638
1007	0.08626797621
1008	0.08623968561
1009	0.08622928724
1010	0.08620277497
1011	0.08618122914
1012	0.0861124507
1013	0.08607076136
1014	0.08606884054
1015	0.08604890931
1016	0.08603693982
1017	0.08600964857
1018	0.08598774731
1019	0.08596852946
1020	0.08596017658
1021	0.0859328484
1022	0.08593058325
1023	0.08586671758
1024	0.08583981311
1025	0.08580843203
1026	0.08579390597
1027	0.08577249331
1028	0.08574556105
1029	0.08571818054
1030	0.08569642924
1031	0.08568984593
1032	0.08565423535
1033	0.08564007072
1034	0.08563897538
1035	0.08561871775
1036	0.08559738922
1037	0.08557295105
1038	0.08554941874
1039	0.08552476112
1040	0.08551582406
1041	0.08546773984
1042	0.08544728732
1043	0.08540424412
1044	0.08539035056
1045	0.08537150785
1046	0.08531420966
1047	0.08528240267
1048	0.08527166718
1049	0.08525635287
1050	0.08519216699
1051	0.08518359526
1052	0.08517734573
1053	0.08514688625
1054	0.08513289624
1055	0.08512333074
1056	0.08511003687
1057	0.0850853892
1058	0.08506318217
1059	0.085041554
1060	0.08503987308
1061	0.08501090798
1062	0.0849921012
1063	0.08493970511
1064	0.08492834875
1065	0.08489751774
1066	0.08488059201
1067	0.08486710683
1068	0.08484654872
1069	0.08481876546
1070	0.08476470519
1071	0.08472528586
1072	0.08469029496
1073	0.08466037891
